Geneid,Entity,Symbol,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2
gene-PA1969,host,gene-PA1969,6.0,5.0,6.0,6.0,1.0,3.0
gene-PA4093,host,gene-PA4093,3.0,5.0,2.0,2.0,1.0,5.0
gene-PA3798,host,gene-PA3798,12.0,13.0,7.0,6.0,1.0,7.0
gene-PA1604,host,gene-PA1604,5.0,6.0,4.0,10.0,1.0,5.0
gene-PA3620,host,mutS,41.0,,,,10.0,15.0
gene-PA4881,host,gene-PA4881,9.0,2.0,2.0,2.0,1.0,6.0
gene-PA2653,host,gene-PA2653,,22.0,10.0,15.0,1.0,9.0
gene-PA3357,host,dsdA,13.0,10.0,2.0,6.0,1.0,6.0
gene-PA1467,host,gene-PA1467,2.0,5.0,2.0,3.0,2.0,4.0
gene-PA0564,host,gene-PA0564,8.0,5.0,4.0,5.0,1.0,7.0
gene-PA2464,host,gene-PA2464,6.0,12.0,5.0,4.0,6.0,3.0
gene-PA1784,host,gene-PA1784,2.0,3.0,2.0,4.0,2.0,5.0
gene-PHIKZ198,phage,gene-PHIKZ198,5.0,3.0,,10.0,,
gene-PA5449,host,wbpX,15.0,11.0,6.0,6.0,3.0,13.0
gene-PA3626,host,gene-PA3626,30.0,20.0,5.0,7.0,2.0,2.0
gene-PA2505,host,opdT,16.0,12.0,2.0,9.0,0.0,8.0
gene-PA3681,host,gene-PA3681,5.0,4.0,1.0,6.0,0.0,3.0
gene-PA5388,host,gene-PA5388,7.0,8.0,0.0,5.0,2.0,6.0
gene-PA4005,host,gene-PA4005,28.0,22.0,7.0,4.0,0.0,3.0
gene-PHIKZ_p01,phage,gene-PHIKZ_p01,,,,14.0,3.0,16.0
gene-PA1643a,host,gene-PA1643a,4.0,4.0,0.0,5.0,0.0,1.0
gene-PA0779,host,gene-PA0779,,,,,10.0,
gene-PA1966,host,gene-PA1966,5.0,7.0,3.0,2.0,0.0,2.0
gene-PA2339,host,gene-PA2339,8.0,12.0,3.0,9.0,3.0,9.0
gene-PA4062,host,gene-PA4062,4.0,3.0,1.0,4.0,0.0,3.0
gene-PA4313,host,gene-PA4313,10.0,6.0,1.0,14.0,2.0,3.0
gene-PA0523,host,norC,4.0,7.0,3.0,3.0,0.0,4.0
gene-PA1184,host,gene-PA1184,4.0,5.0,5.0,7.0,1.0,5.0
gene-PA0135,host,gene-PA0135,1.0,0.0,0.0,1.0,0.0,1.0
gene-PA0399,host,gene-PA0399,18.0,17.0,5.0,12.0,4.0,5.0
gene-PA2051,host,gene-PA2051,2.0,6.0,0.0,2.0,0.0,3.0
gene-PA0261,host,gene-PA0261,3.0,5.0,0.0,5.0,1.0,4.0
gene-PA2932,host,morB,6.0,5.0,3.0,2.0,3.0,5.0
gene-PA5327,host,gene-PA5327,16.0,6.0,3.0,11.0,4.0,19.0
gene-PA2241,host,pslK,4.0,4.0,0.0,2.0,0.0,3.0
gene-PA3450,host,gene-PA3450,13.0,12.0,4.0,2.0,0.0,7.0
gene-PA2132,host,cupA5,5.0,2.0,3.0,8.0,1.0,4.0
gene-PA5328,host,gene-PA5328,3.0,3.0,0.0,2.0,0.0,3.0
gene-PA1822,host,fimL,26.0,25.0,12.0,11.0,2.0,6.0
gene-PA3588,host,gene-PA3588,3.0,5.0,1.0,5.0,2.0,4.0
gene-PA4776,host,pmrA,9.0,3.0,4.0,4.0,0.0,5.0
gene-PHIKZ036,phage,gene-PHIKZ036,,,,,8.0,
gene-PA0306a,host,gene-PA0306a,16.0,9.0,8.0,9.0,1.0,9.0
gene-PA1081,host,flgF,13.0,7.0,13.0,24.0,4.0,2.0
gene-PA1039,host,gene-PA1039,3.0,3.0,1.0,0.0,0.0,3.0
gene-PA3281,host,gene-PA3281,2.0,0.0,0.0,1.0,0.0,2.0
gene-PA4536,host,gene-PA4536,4.0,3.0,1.0,4.0,0.0,5.0
gene-PA5375,host,betT1,21.0,19.0,8.0,9.0,3.0,14.0
gene-PA2189,host,gene-PA2189,5.0,4.0,2.0,4.0,1.0,2.0
gene-PA4595,host,gene-PA4595,,,,,10.0,15.0
gene-PA2989,host,gene-PA2989,5.0,3.0,3.0,8.0,3.0,2.0
gene-PA2660,host,gene-PA2660,12.0,10.0,5.0,5.0,2.0,5.0
gene-PA2504,host,gene-PA2504,12.0,3.0,1.0,4.0,0.0,3.0
gene-PA1009,host,gene-PA1009,23.0,11.0,16.0,9.0,2.0,13.0
gene-PA3747,host,gene-PA3747,21.0,27.0,4.0,10.0,3.0,8.0
gene-PA3924,host,gene-PA3924,17.0,14.0,4.0,15.0,3.0,9.0
gene-PA5216,host,gene-PA5216,20.0,13.0,3.0,15.0,4.0,13.0
gene-PA0136,host,gene-PA0136,19.0,11.0,5.0,23.0,1.0,15.0
gene-PHIKZ147,phage,gene-PHIKZ147,6.0,5.0,,,,
gene-PA4959,host,fimX,,33.0,8.0,19.0,4.0,13.0
gene-PA2712,host,gene-PA2712,5.0,10.0,0.0,5.0,1.0,4.0
gene-PA3464,host,gene-PA3464,13.0,13.0,4.0,10.0,4.0,13.0
gene-PA5426,host,purE,17.0,14.0,8.0,8.0,2.0,8.0
gene-PA4224,host,pchG,8.0,5.0,2.0,5.0,2.0,7.0
gene-PA4928,host,gene-PA4928,39.0,,,,6.0,23.0
gene-PA3353,host,gene-PA3353,8.0,15.0,3.0,9.0,4.0,9.0
gene-PA0248,host,gene-PA0248,13.0,11.0,6.0,6.0,7.0,6.0
gene-PA1943,host,gene-PA1943,5.0,9.0,2.0,5.0,1.0,4.0
gene-PA3426,host,gene-PA3426,5.0,4.0,6.0,3.0,1.0,4.0
gene-PA1324,host,gene-PA1324,2.0,5.0,4.0,4.0,2.0,0.0
gene-PA3796,host,gene-PA3796,9.0,3.0,4.0,5.0,1.0,3.0
gene-PA2078,host,gene-PA2078,14.0,11.0,4.0,6.0,3.0,9.0
gene-PA2097,host,gene-PA2097,8.0,4.0,1.0,3.0,0.0,5.0
gene-PA4424,host,gene-PA4424,10.0,5.0,4.0,2.0,0.0,4.0
gene-PA0317,host,gene-PA0317,40.0,,,24.0,6.0,20.0
gene-PA2402,host,gene-PA2402,,,16.0,,10.0,
gene-PA1788,host,gene-PA1788,4.0,5.0,3.0,3.0,0.0,1.0
gene-PA4814,host,fadH2,29.0,19.0,10.0,23.0,5.0,15.0
gene-PA2230,host,gene-PA2230,4.0,7.0,2.0,2.0,1.0,5.0
gene-PA2686,host,pfeR,3.0,9.0,1.0,2.0,2.0,5.0
gene-PA2755,host,eco,12.0,4.0,14.0,8.0,2.0,4.0
gene-PA3799,host,gene-PA3799,38.0,23.0,5.0,13.0,3.0,4.0
gene-PA5413,host,ltaA,14.0,14.0,3.0,3.0,7.0,7.0
gene-PA2218,host,gene-PA2218,3.0,12.0,0.0,5.0,2.0,4.0
gene-PA0244,host,gene-PA0244,5.0,7.0,2.0,6.0,0.0,6.0
gene-PA3738,host,xerD,12.0,4.0,3.0,4.0,0.0,10.0
gene-PA2273,host,soxR,8.0,1.0,4.0,3.0,0.0,1.0
gene-PA4210,host,phzA1,1.0,4.0,1.0,4.0,1.0,4.0
gene-PA3420,host,gene-PA3420,17.0,29.0,9.0,17.0,2.0,13.0
gene-PA1390,host,gene-PA1390,5.0,5.0,0.0,5.0,1.0,4.0
gene-PA3255,host,gene-PA3255,7.0,3.0,1.0,3.0,1.0,2.0
gene-PA4317,host,gene-PA4317,30.0,22.0,6.0,12.0,5.0,7.0
gene-PA3054,host,gene-PA3054,10.0,10.0,5.0,13.0,2.0,9.0
gene-PA3179,host,gene-PA3179,34.0,28.0,13.0,18.0,2.0,7.0
gene-PA3508,host,gene-PA3508,9.0,6.0,1.0,3.0,2.0,9.0
gene-PA0025,host,aroE,6.0,11.0,2.0,2.0,1.0,8.0
gene-PA4676,host,gene-PA4676,12.0,8.0,4.0,3.0,1.0,3.0
gene-PA0171,host,gene-PA0171,11.0,7.0,2.0,5.0,0.0,4.0
gene-PA3830,host,gene-PA3830,9.0,11.0,2.0,2.0,0.0,7.0
gene-PA4011,host,gene-PA4011,23.0,7.0,7.0,9.0,6.0,10.0
gene-PA2207,host,gene-PA2207,9.0,5.0,1.0,6.0,0.0,5.0
gene-PA2925,host,hisM,6.0,4.0,1.0,3.0,0.0,4.0
gene-PHIKZ041,phage,gene-PHIKZ041,33.0,24.0,,,,
gene-PA0953,host,gene-PA0953,5.0,6.0,3.0,1.0,1.0,2.0
gene-PA0690,host,gene-PA0690,,,15.0,,,
gene-PA0178,host,gene-PA0178,28.0,25.0,10.0,16.0,3.0,14.0
gene-PA0331,host,ilvA1,37.0,31.0,8.0,15.0,7.0,13.0
gene-PA3133,host,gene-PA3133,3.0,2.0,0.0,5.0,0.0,4.0
gene-PA1361,host,gene-PA1361,13.0,12.0,6.0,6.0,2.0,5.0
gene-PA2323,host,gene-PA2323,20.0,16.0,7.0,8.0,2.0,10.0
gene-PA5306,host,gene-PA5306,3.0,4.0,1.0,1.0,1.0,3.0
gene-PA3948,host,rocA1,4.0,9.0,3.0,8.0,1.0,5.0
gene-PA4375,host,gene-PA4375,17.0,26.0,12.0,21.0,4.0,
gene-PA4103,host,gene-PA4103,16.0,10.0,3.0,12.0,2.0,10.0
gene-PHIKZ068,phage,gene-PHIKZ068,,,,,,
gene-PA0082,host,gene-PA0082,28.0,19.0,10.0,13.0,4.0,11.0
gene-PA1540,host,gene-PA1540,2.0,1.0,1.0,2.0,0.0,2.0
gene-PA5330,host,gene-PA5330,12.0,16.0,7.0,7.0,3.0,7.0
gene-PA3611,host,gene-PA3611,8.0,5.0,2.0,5.0,1.0,4.0
gene-PA2729,host,gene-PA2729,14.0,5.0,1.0,4.0,1.0,13.0
gene-PA2875,host,gene-PA2875,13.0,6.0,1.0,5.0,0.0,2.0
gene-PA2240,host,pslJ,6.0,10.0,4.0,8.0,0.0,3.0
gene-PA3013,host,foaB,24.0,25.0,7.0,9.0,7.0,10.0
gene-PA2843,host,gene-PA2843,17.0,12.0,8.0,10.0,1.0,5.0
gene-PA3514,host,gene-PA3514,5.0,1.0,1.0,3.0,0.0,4.0
gene-PA0878,host,gene-PA0878,3.0,0.0,1.0,3.0,0.0,1.0
gene-PA4370,host,icmP,21.0,21.0,9.0,12.0,6.0,14.0
gene-PA5062,host,gene-PA5062,18.0,7.0,3.0,2.0,0.0,
gene-PA1460,host,motC,8.0,8.0,2.0,3.0,0.0,4.0
gene-PA5376,host,gene-PA5376,7.0,12.0,3.0,3.0,3.0,5.0
gene-PA2278,host,arsB,3.0,8.0,4.0,4.0,1.0,3.0
gene-PA3651,host,cdsA,6.0,14.0,3.0,7.0,3.0,2.0
gene-PA3891,host,gene-PA3891,12.0,15.0,5.0,10.0,0.0,6.0
gene-PA4635,host,gene-PA4635,3.0,6.0,2.0,0.0,1.0,1.0
gene-PA4822,host,gene-PA4822,13.0,12.0,2.0,11.0,0.0,9.0
gene-PHIKZ257,phage,gene-PHIKZ257,,,,,,
gene-PA3359,host,gene-PA3359,10.0,13.0,3.0,4.0,2.0,8.0
gene-PA2860,host,gene-PA2860,15.0,15.0,11.0,14.0,5.0,3.0
gene-PA5434,host,mtr,16.0,14.0,8.0,14.0,1.0,10.0
gene-PA4581,host,rtcR,12.0,13.0,7.0,8.0,5.0,11.0
gene-PA3477,host,rhlR,13.0,12.0,4.0,8.0,0.0,3.0
gene-PA4793,host,gene-PA4793,18.0,8.0,4.0,8.0,2.0,6.0
gene-PA0201,host,gene-PA0201,4.0,1.0,3.0,0.0,2.0,6.0
gene-PA4105,host,gene-PA4105,7.0,4.0,3.0,10.0,0.0,7.0
gene-PA4966,host,gene-PA4966,8.0,10.0,1.0,5.0,1.0,11.0
gene-PA2302,host,ambE,25.0,25.0,12.0,23.0,4.0,
gene-PA2072,host,gene-PA2072,16.0,17.0,2.0,8.0,1.0,10.0
gene-PA4647,host,uraA,30.0,15.0,11.0,9.0,3.0,16.0
gene-PA1182,host,gene-PA1182,7.0,10.0,3.0,5.0,1.0,3.0
gene-PA3715,host,gene-PA3715,8.0,2.0,1.0,8.0,2.0,8.0
gene-PA0486,host,gene-PA0486,10.0,13.0,6.0,2.0,0.0,7.0
gene-PA3228,host,gene-PA3228,8.0,9.0,4.0,9.0,4.0,8.0
gene-PA0076,host,gene-PA0076,9.0,3.0,1.0,4.0,1.0,5.0
gene-PA1394,host,gene-PA1394,4.0,2.0,1.0,2.0,0.0,6.0
gene-PA3380,host,gene-PA3380,5.0,3.0,0.0,4.0,0.0,1.0
gene-PA5214,host,gcvH1,14.0,10.0,5.0,3.0,2.0,8.0
gene-PA0310,host,gene-PA0310,18.0,15.0,5.0,7.0,2.0,4.0
gene-PA0224,host,gene-PA0224,17.0,12.0,1.0,9.0,6.0,9.0
gene-PA2744,host,thrS,,,,,,13.0
gene-PA2895,host,gene-PA2895,6.0,5.0,2.0,10.0,1.0,3.0
gene-PA2099,host,gene-PA2099,3.0,6.0,4.0,5.0,1.0,1.0
gene-PA4285,host,recC,26.0,24.0,9.0,13.0,8.0,18.0
gene-PA4381,host,gene-PA4381,10.0,14.0,5.0,5.0,3.0,4.0
gene-PA1312,host,gene-PA1312,3.0,8.0,0.0,6.0,2.0,5.0
gene-PA4533,host,gene-PA4533,3.0,1.0,0.0,2.0,1.0,2.0
gene-PA1434,host,gene-PA1434,7.0,3.0,0.0,3.0,0.0,2.0
gene-PA2321,host,gene-PA2321,8.0,10.0,4.0,3.0,3.0,7.0
gene-PHIKZ130,phage,gene-PHIKZ130,12.0,14.0,,20.0,,
gene-PA5349,host,gene-PA5349,13.0,5.0,5.0,9.0,1.0,6.0
gene-PA4201,host,ddlA,19.0,8.0,4.0,9.0,3.0,4.0
gene-PA2342,host,mtlD,8.0,6.0,1.0,7.0,0.0,7.0
gene-PA3131,host,gene-PA3131,11.0,7.0,0.0,5.0,2.0,2.0
gene-PA1615,host,gene-PA1615,3.0,5.0,1.0,4.0,0.0,1.0
gene-PA3935,host,tauD,6.0,4.0,1.0,2.0,0.0,4.0
gene-PA5174,host,gene-PA5174,,,,,9.0,19.0
gene-PA0898,host,aruD,9.0,9.0,4.0,4.0,4.0,7.0
gene-PA4068,host,gene-PA4068,19.0,15.0,4.0,11.0,1.0,9.0
gene-PA4612,host,gene-PA4612,7.0,6.0,1.0,4.0,0.0,3.0
gene-PA5403,host,gene-PA5403,7.0,4.0,6.0,5.0,0.0,4.0
gene-PA0489,host,gene-PA0489,6.0,7.0,3.0,4.0,1.0,4.0
gene-PA2745,host,gene-PA2745,9.0,6.0,5.0,4.0,3.0,2.0
gene-PA0941,host,gene-PA0941,2.0,2.0,1.0,2.0,0.0,6.0
gene-PA3601,host,gene-PA3601,3.0,4.0,0.0,1.0,0.0,4.0
gene-PA3839,host,gene-PA3839,16.0,6.0,3.0,10.0,0.0,5.0
gene-PA3069,host,gene-PA3069,15.0,13.0,9.0,11.0,6.0,10.0
gene-PA5269,host,gene-PA5269,6.0,5.0,3.0,0.0,2.0,0.0
gene-PA4029,host,gene-PA4029,10.0,13.0,4.0,11.0,,4.0
gene-PA4936,host,gene-PA4936,12.0,9.0,2.0,9.0,1.0,9.0
gene-PHIKZ_p55,phage,gene-PHIKZ_p55,2.0,5.0,,22.0,,
gene-PA1349,host,gene-PA1349,1.0,0.0,1.0,0.0,0.0,2.0
gene-PA2213,host,gene-PA2213,5.0,6.0,1.0,2.0,2.0,3.0
gene-PA1758,host,pabB,15.0,7.0,1.0,5.0,2.0,7.0
gene-PA2753,host,gene-PA2753,0.0,0.0,0.0,1.0,0.0,1.0
gene-PHIKZ253,phage,gene-PHIKZ253,,,,,,
gene-PA1289,host,gene-PA1289,1.0,2.0,1.0,6.0,1.0,4.0
gene-PA4447,host,hisC1,13.0,11.0,2.0,6.0,1.0,2.0
gene-PHIKZ_p22,phage,gene-PHIKZ_p22,,,,,,
gene-PA2417,host,gene-PA2417,10.0,3.0,0.0,5.0,2.0,2.0
gene-PA1764,host,gene-PA1764,5.0,4.0,4.0,4.0,0.0,12.0
gene-PA5061,host,gene-PA5061,18.0,13.0,,16.0,,10.0
gene-PA2526,host,gene-PA2526,23.0,18.0,4.0,23.0,8.0,8.0
gene-PA0457.1,host,gene-PA0457.1,1.0,4.0,1.0,3.0,0.0,3.0
gene-PA2777,host,gene-PA2777,6.0,6.0,2.0,8.0,0.0,5.0
gene-PA3201,host,gene-PA3201,13.0,13.0,7.0,6.0,3.0,5.0
gene-PA2999,host,nqrA,,31.0,13.0,,,13.0
gene-PA0194,host,gene-PA0194,15.0,11.0,3.0,4.0,2.0,8.0
gene-PA0054,host,gene-PA0054,8.0,4.0,1.0,1.0,1.0,5.0
gene-PA4150,host,gene-PA4150,9.0,9.0,5.0,8.0,0.0,
gene-PA4393,host,ampG,23.0,20.0,6.0,11.0,4.0,7.0
gene-PA3671,host,gene-PA3671,4.0,5.0,1.0,10.0,0.0,3.0
gene-PA2656,host,gene-PA2656,11.0,8.0,3.0,3.0,1.0,2.0
gene-PA0156,host,gene-PA0156,20.0,15.0,6.0,10.0,4.0,4.0
gene-PA1078,host,flgC,4.0,6.0,9.0,4.0,2.0,5.0
gene-PA3211,host,gene-PA3211,16.0,10.0,3.0,7.0,3.0,11.0
gene-PA4575,host,gene-PA4575,2.0,5.0,3.0,8.0,0.0,6.0
gene-PA0334,host,gene-PA0334,11.0,13.0,1.0,11.0,2.0,11.0
gene-PA1931,host,gene-PA1931,11.0,4.0,2.0,3.0,3.0,1.0
gene-PA3280,host,oprO,7.0,5.0,2.0,3.0,0.0,7.0
gene-PA3914,host,moeA1,5.0,9.0,1.0,6.0,1.0,3.0
gene-PA1309,host,gene-PA1309,8.0,8.0,1.0,5.0,1.0,6.0
gene-PA1976,host,ercS',10.0,11.0,3.0,9.0,2.0,11.0
gene-PA0254,host,gene-PA0254,24.0,17.0,6.0,8.0,4.0,13.0
gene-PA5352,host,gene-PA5352,1.0,5.0,2.0,3.0,0.0,4.0
gene-PA0840,host,gene-PA0840,16.0,10.0,2.0,7.0,3.0,6.0
gene-PA0959,host,gene-PA0959,11.0,12.0,6.0,5.0,3.0,3.0
gene-PA3154,host,wzy,28.0,30.0,9.0,12.0,0.0,7.0
gene-PA3768,host,gene-PA3768,17.0,15.0,9.0,15.0,5.0,8.0
gene-PA0602,host,gene-PA0602,8.0,8.0,2.0,7.0,4.0,6.0
gene-PA4636a,host,gene-PA4636a,1.0,1.0,1.0,0.0,1.0,2.0
gene-PA5542,host,gene-PA5542,14.0,10.0,5.0,7.0,7.0,8.0
gene-PA0839,host,gene-PA0839,5.0,3.0,2.0,7.0,2.0,2.0
gene-PA5486,host,gene-PA5486,6.0,6.0,3.0,8.0,3.0,4.0
gene-PHIKZ211,phage,gene-PHIKZ211,10.0,10.0,,,9.0,
gene-PA0654,host,speD,24.0,22.0,9.0,12.0,4.0,3.0
gene-PA3311,host,gene-PA3311,13.0,19.0,10.0,4.0,6.0,16.0
gene-PA2584,host,pgsA,11.0,7.0,4.0,4.0,1.0,2.0
gene-PA5465,host,gene-PA5465,4.0,1.0,1.0,3.0,0.0,6.0
gene-PA2053,host,cynT,6.0,4.0,1.0,3.0,0.0,6.0
gene-PA3432,host,gene-PA3432,5.0,2.0,1.0,3.0,2.0,2.0
gene-PA5140,host,hisF1,12.0,7.0,3.0,4.0,0.0,5.0
gene-PA3438,host,folE1,13.0,6.0,1.0,3.0,0.0,2.0
gene-PHIKZ080,phage,gene-PHIKZ080,25.0,19.0,,,,
gene-PA0844,host,plcH,14.0,18.0,2.0,13.0,0.0,16.0
gene-PA2955,host,gene-PA2955,9.0,10.0,1.0,5.0,0.0,7.0
gene-PA0009,host,glyQ,23.0,13.0,6.0,12.0,,9.0
gene-PA1616,host,gene-PA1616,4.0,3.0,1.0,5.0,0.0,5.0
gene-PA4714,host,gene-PA4714,7.0,9.0,4.0,4.0,1.0,4.0
gene-PA2840,host,gene-PA2840,,35.0,6.0,19.0,7.0,9.0
gene-PA1565,host,gene-PA1565,13.0,7.0,0.0,6.0,0.0,7.0
gene-PA3967,host,gene-PA3967,6.0,5.0,1.0,5.0,1.0,3.0
gene-PHIKZ221,phage,gene-PHIKZ221,8.0,5.0,7.0,4.0,1.0,
gene-PA5079,host,gene-PA5079,8.0,2.0,1.0,2.0,1.0,1.0
gene-PA1401,host,gene-PA1401,5.0,1.0,0.0,2.0,0.0,3.0
gene-PA4487,host,gene-PA4487,8.0,4.0,1.0,6.0,1.0,5.0
gene-PA5186,host,gene-PA5186,12.0,7.0,3.0,8.0,1.0,
gene-PA5415,host,glyA1,12.0,7.0,1.0,8.0,2.0,13.0
gene-PA1383,host,gene-PA1383,16.0,8.0,1.0,4.0,3.0,11.0
gene-PA2165,host,gene-PA2165,9.0,8.0,0.0,4.0,0.0,3.0
gene-PA3870,host,moaA1,8.0,3.0,0.0,3.0,1.0,
gene-PA3711,host,gene-PA3711,5.0,4.0,3.0,5.0,2.0,8.0
gene-PA4177,host,gene-PA4177,5.0,4.0,3.0,2.0,2.0,1.0
gene-PA3511,host,gene-PA3511,6.0,1.0,2.0,2.0,1.0,5.0
gene-PA4142,host,gene-PA4142,12.0,13.0,4.0,9.0,1.0,3.0
gene-PA4171,host,gene-PA4171,6.0,5.0,3.0,3.0,0.0,6.0
gene-PA5190,host,gene-PA5190,11.0,5.0,2.0,3.0,2.0,5.0
gene-PA1996,host,ppiC1,4.0,2.0,3.0,1.0,1.0,1.0
gene-PA2358,host,gene-PA2358,3.0,7.0,0.0,1.0,0.0,2.0
gene-PA1575,host,gene-PA1575,6.0,2.0,1.0,5.0,1.0,2.0
gene-PA2073,host,gene-PA2073,9.0,4.0,1.0,7.0,2.0,7.0
gene-PA5505,host,gene-PA5505,22.0,9.0,11.0,11.0,6.0,1.0
gene-PA3766,host,gene-PA3766,14.0,9.0,4.0,13.0,1.0,11.0
gene-PA1236,host,gene-PA1236,12.0,8.0,3.0,6.0,2.0,7.0
gene-PA0069,host,gene-PA0069,13.0,17.0,2.0,5.0,1.0,11.0
gene-PHIKZ_p71,phage,gene-PHIKZ_p71,25.0,18.0,,,,
gene-PA4270,host,rpoB,,,,,,
gene-PA0311,host,gene-PA0311,6.0,4.0,0.0,4.0,2.0,2.0
gene-PA5460,host,gene-PA5460,1.0,1.0,1.0,1.0,2.0,3.0
gene-PA1868,host,xqhA,9.0,10.0,4.0,7.0,0.0,9.0
gene-PA2540,host,gene-PA2540,9.0,11.0,3.0,9.0,3.0,3.0
gene-PA5005,host,gene-PA5005,,,,,,
gene-PA2210,host,gene-PA2210,12.0,5.0,2.0,5.0,4.0,2.0
gene-PA5461,host,gene-PA5461,26.0,18.0,10.0,6.0,4.0,6.0
gene-PHIKZ103,phage,gene-PHIKZ103,,,,,,
gene-PA2713,host,gene-PA2713,6.0,2.0,1.0,2.0,0.0,2.0
gene-PA0807,host,ampDh3,9.0,5.0,0.0,2.0,3.0,6.0
gene-PA1450,host,gene-PA1450,9.0,10.0,2.0,6.0,1.0,1.0
gene-PA5402,host,gene-PA5402,15.0,19.0,3.0,3.0,1.0,10.0
gene-PA0982,host,gene-PA0982,8.0,7.0,3.0,2.0,1.0,3.0
gene-PA0015,host,gene-PA0015,13.0,7.0,2.0,5.0,0.0,6.0
gene-PA3549,host,algJ,7.0,8.0,5.0,1.0,4.0,3.0
gene-PA2234,host,pslD,9.0,2.0,0.0,3.0,2.0,3.0
gene-PA1951,host,gene-PA1951,10.0,12.0,3.0,6.0,1.0,1.0
gene-PA4787,host,gene-PA4787,9.0,6.0,4.0,6.0,3.0,6.0
gene-PA0089,host,gene-PA0089,16.0,14.0,3.0,11.0,3.0,10.0
gene-PA1304,host,gene-PA1304,28.0,18.0,14.0,7.0,5.0,6.0
gene-PA2880,host,gene-PA2880,7.0,4.0,1.0,2.0,1.0,4.0
gene-PA4173,host,gene-PA4173,7.0,3.0,2.0,1.0,3.0,0.0
gene-PA2553,host,gene-PA2553,3.0,3.0,3.0,6.0,2.0,6.0
gene-PA0759,host,gene-PA0759,9.0,6.0,2.0,5.0,4.0,7.0
gene-PA1051,host,gene-PA1051,11.0,20.0,3.0,9.0,0.0,3.0
gene-PA2060,host,gene-PA2060,9.0,4.0,2.0,6.0,1.0,2.0
gene-PA2773,host,gene-PA2773,3.0,3.0,0.0,2.0,1.0,1.0
gene-PA2038,host,gene-PA2038,2.0,0.0,3.0,2.0,0.0,2.0
gene-PA3174,host,gene-PA3174,3.0,1.0,1.0,1.0,0.0,5.0
gene-PA2720,host,gene-PA2720,9.0,2.0,2.0,4.0,3.0,2.0
gene-PA4425,host,gene-PA4425,25.0,8.0,4.0,12.0,2.0,13.0
gene-PA0253,host,gene-PA0253,12.0,14.0,7.0,8.0,2.0,3.0
gene-PA1731,host,gene-PA1731,3.0,5.0,1.0,4.0,5.0,5.0
gene-PA2040,host,gene-PA2040,22.0,19.0,7.0,8.0,4.0,10.0
gene-PA3247,host,gene-PA3247,20.0,17.0,7.0,7.0,2.0,8.0
gene-PA0960,host,gene-PA0960,4.0,3.0,0.0,4.0,1.0,2.0
gene-PA1292,host,gene-PA1292,15.0,11.0,1.0,6.0,1.0,1.0
gene-PA1901,host,phzC2,4.0,5.0,2.0,2.0,0.0,9.0
gene-PA0644,host,gene-PA0644,8.0,12.0,2.0,5.0,0.0,1.0
gene-PA5050,host,priA,23.0,19.0,12.0,19.0,5.0,15.0
gene-PHIKZ069,phage,gene-PHIKZ069,,,,,,
gene-PA3596,host,gene-PA3596,6.0,4.0,4.0,6.0,0.0,3.0
gene-PA2124,host,gene-PA2124,11.0,10.0,4.0,6.0,1.0,3.0
gene-PA1409,host,aphA,7.0,8.0,3.0,2.0,1.0,6.0
gene-PA3345,host,gene-PA3345,32.0,25.0,12.0,8.0,1.0,3.0
gene-PA2598,host,gene-PA2598,5.0,10.0,3.0,1.0,1.0,1.0
gene-PA5539,host,gene-PA5539,7.0,5.0,1.0,12.0,2.0,8.0
gene-PA4944,host,hfq,,,,,,7.0
gene-PA3483,host,gene-PA3483,7.0,7.0,6.0,9.0,1.0,5.0
gene-PA0474,host,gene-PA0474,4.0,3.0,0.0,4.0,0.0,0.0
gene-PA2916,host,gene-PA2916,3.0,4.0,2.0,2.0,2.0,2.0
gene-PA0220,host,gene-PA0220,27.0,22.0,8.0,20.0,5.0,18.0
gene-PA5074,host,gene-PA5074,15.0,9.0,3.0,7.0,1.0,6.0
gene-PA1944,host,gene-PA1944,19.0,9.0,5.0,10.0,2.0,10.0
gene-PA4389,host,gene-PA4389_gene_speA,18.0,18.0,1.0,6.0,0.0,7.0
gene-PA5059,host,gene-PA5059,6.0,5.0,2.0,5.0,1.0,7.0
gene-PA2404,host,gene-PA2404,3.0,7.0,1.0,7.0,0.0,6.0
gene-PHIKZ085,phage,gene-PHIKZ085,6.0,4.0,,,,
gene-PA4096,host,gene-PA4096,13.0,11.0,2.0,11.0,1.0,7.0
gene-PA0129,host,gabP,20.0,15.0,6.0,21.0,2.0,11.0
gene-PA1077,host,flgB,10.0,5.0,7.0,8.0,2.0,4.0
gene-PA4172,host,gene-PA4172,6.0,8.0,1.0,4.0,0.0,7.0
gene-PA0945,host,purM,24.0,16.0,14.0,9.0,4.0,7.0
gene-PA4506,host,gene-PA4506,9.0,0.0,1.0,4.0,1.0,4.0
gene-PA2587,host,pqsH,4.0,8.0,7.0,4.0,1.0,7.0
gene-PA1485,host,gene-PA1485,14.0,7.0,1.0,5.0,4.0,4.0
gene-PA1661,host,gene-PA1661,6.0,6.0,1.0,10.0,1.0,6.0
gene-PA3284,host,gene-PA3284,3.0,2.0,2.0,1.0,0.0,4.0
gene-PA2509,host,catB,6.0,5.0,1.0,2.0,1.0,7.0
gene-PA4735,host,gene-PA4735,,,,,,
gene-PA4272,host,rplJ,,,,,,
